ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;BEGY3214(2) *Носки для мальчиков - в наличии;;79.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BEGY3214%282%29.jpg;"Носки для мальчиков Микс/лазурный(0/21) 20/22"
;BFAJP1822 *Комплект для мальчиков - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFAJP1822.jpg;"Комплект для мальчиков Серый(40) 3-6"
;BFH3217 *Шорты для мальчика - в наличии;;293.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFH3217.jpg;"Шорты для мальчика Темно-синий(54) 4"
;BFJ4191/1 *Джемпер для мальчиков - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFJ4191-1.jpg;"Джемпер для мальчиков Яблочный(51) 10;Джемпер для мальчиков Яблочный(51) 11"
;BFJS4215 *Джемпер для мальчиков - в наличии;;525.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFJS4215.jpg;"Джемпер для мальчиков Темно-синий(54) 8"
;BFP7002U *брюки для мальчиков - в наличии;;1050.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFP7002U%D0%B4%D0%B6%D0%B8%D0%BD%D1%81.jpg https://optom-brend.ru/image/data/transfer/pelican/BFP7002U%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.jpg;"брюки для мальчиков Черный 6"
;BFT4090 *футболка для мальчиков - в наличии;;225.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFT4090%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9.jpg;"футболка для мальчиков Красный 6"
;BFVV4187 *Майка для мальчиков - в наличии;;196.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BFVV4187.jpg;"Майка для мальчиков Красный(18) 7"
;BUB4255(2) *Трусы для мальчиков - в наличии;;274.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BUB4255%282%29.jpg;"Трусы для мальчиков Синий/оранжевый(41/31) 8"
;BWP4112 *брюки для мальчиков - в наличии;;899.0;15;;https://optom-brend.ru/image/data/transfer/pelican/BWP4112_%D1%81%D0%B8%D0%BD%D0%B8%D0%B9%2841%29.jpg;"брюки для мальчиков Синий 10"
;DFANP6826 *Комплект женский - в наличии;;1662.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DFANP6826.jpg;"Комплект женский Черника(48) M"
;DFANP6870 *Комплект женский - в наличии;;1467.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DFANP6870.jpg;"Комплект женский Черный(49) M;Комплект женский Черный(49) S"
;DFJ6688 *Джемпер женский - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DFJ6688.jpg;"Джемпер женский Серый(40) S"
;DFT6826/1 *Джемпер - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DFT6826.jpg;"Джемпер (модель футболка) женский Сиреневый(42) L"
;DFT6826 *Футболка женская - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DFT6826.jpg;"Футболка женская Бежевый(3) L"
;DGH6803 *Шорты женские - в наличии;;587.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DGH6803.jpg;"Шорты женские Темно-синий(54) M"
;DT682/2 *футболка - в наличии;;399.0;15;;https://optom-brend.ru/image/data/transfer/pelican/DT682_2%D0%BC%D0%B8%D0%BB%D0%BA.jpg;"джемпер (модель футболка) женский Milk M"
;FWP19 *брюки женские - в наличии;;130.0;15;;https://optom-brend.ru/image/data/transfer/pelican/FWP19.jpg;"брюки женские PANTS (XS,White)"
;FWP20 *брюки женские - в наличии;;130.0;15;;https://optom-brend.ru/image/data/transfer/pelican/FWP20.jpg;"брюки женские PANTS (XS,Black)"
;FWP45 *брюки женские - в наличии;;150.0;15;;https://optom-brend.ru/image/data/transfer/pelican/FWP45.jpg;"брюки женские (XS,Black)"
;GEGY3268(2) *Носки для девочек - в наличии;;165.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GEGY3268%282%29.jpg;"Носки для девочек Ванильный/розовый(7/37) 18/20"
;GFANP1200 *Комплект для девочек - в наличии;;480.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFANP1200.jpg;"Комплект для девочек Зеленый(12) 3-6"
;GFATH4220 *Комплект для девочек - в наличии;;587.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFATH4220.jpg;"Комплект для девочек Белый(2) 11"
;GFATS4160 *Комплект для девочек - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFATS4160.jpg;"Комплект для девочек Ментол(27) 7"
;GFDJ4244 *Платье для девочек - в наличии;;782.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFDJ4244.jpg;"Платье для девочек Индиго(15) 8"
;GFDT1109 *Платье для девочек - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFDT1109.jpg;"Платье для девочек Пудра(35) 3-6"
;GFDV4184/2 *Платье для девочек - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFDV4184-2.jpg;"Платье для девочек Желтый(11) 8"
;GFFX4157 *шарф - в наличии;;137.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFFX4157.jpg;"шарф (модель снуд) для девочек (51-54, Серый(40))"
;GFJ4219 *Джемпер для девочек - в наличии;;343.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFJ4219.jpg;"Джемпер для девочек Белый(2) 11"
;GFLQ4197 *Брюки для девочек - в наличии;;294.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFLQ4197.jpg;"Брюки для девочек Фиолетовый(46) 6"
;GFLY4183/1 *брюки для девочек - в наличии;;196.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFLY4183-1.jpg;"брюки для девочек (6, Розовый(37))"
;GFN4822 *Толстовка для девочек - в наличии;;441.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFN4822.jpg;"Толстовка для девочек Черный(49) 9"
;GFP4219 *Брюки для девочек - в наличии;;685.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFP4219.jpg;"Брюки для девочек Синий(41) 11"
;GFP4220 *Брюки для девочек - в наличии;;587.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFP4220.jpg;"Брюки для девочек Желтый(11) 10"
;GFS4160 *Юбка для девочек - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFS4160.jpg;"Юбка для девочек Джинс(10) 7"
;GFT4220/3 *Футболка для девочек - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT4220-3.jpg;"Футболка для девочек Белый(2) 9"
;GFT5220 *Футболка для девочек - в наличии;;294.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT5220.jpg;"Футболка для девочек Белый(2) 14"
;GFT5871 *Футболка для девочек - в наличии;;294.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GFT5871.jpg;"Футболка для девочек Черный(49) 14"
;GKQZ4219 *Шапка для девочек - в наличии;;235.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GKQZ4219.jpg;"Шапка для девочек Ментол(27) 53-54"
;GUHB4278(2) *Трусы для девочек - в наличии;;235.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GUHB4278%282%29.jpg;"Трусы для девочек Белый/малиновый(2/25) 9"
;GULB3227(3) *Трусы для девочек - в наличии;;206.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GULB3227%283%29.jpg;"Трусы для девочек Персиковый/розовый/персиковый(33/37/33) 4"
;GWAXS373 *комплект для девочек - в наличии;;300.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWAXS373.jpg;"комплект для девочек (4,Sun);комплект для девочек (3,Sun);комплект для девочек (5,Sun)"
;GWAXS374 *комплект для девочек - в наличии;;300.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWAXS374.jpg;"комплект для девочек (3,Rose);комплект для девочек (4,Rose)"
;GWDJ372/1 *платье для девочек - в наличии;;230.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWDJ372-1.jpg;"платье для девочек (3,Aqua)"
;GWDJ374/1 *платье для девочек - в наличии;;230.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWDJ374-1%20%D1%80%D0%BE%D0%B7.jpg;"платье для девочек (3,Rose)"
;GWH373/1 *шорты для девочек - в наличии;;190.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWH373-1.jpg;"шорты для девочек (4,Leaves)"
;GWP4111 *брюки для девочек - в наличии;;685.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GWP4111.jpg;"брюки для девочек (10, Лазурный(21))"
;GZFL4080 *Пальто для девочек - в наличии;;1467.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GZFL4080.jpg;"Пальто для девочек Кремовый(19) 7"
;GZOW3218/2 *Полукомбинезон для девочек - в наличии;;1564.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GZOW3218-2.jpg;"Полукомбинезон для девочек Фиолетовый(46) 5"
;GZWL4136 *Куртка для девочек - в наличии;;1173.0;15;;https://optom-brend.ru/image/data/transfer/pelican/GZWL4136.jpg;"Куртка для девочек Серый(40) 8"
;LUHA6124 *трусы женские - в наличии;;118.0;15;;https://optom-brend.ru/image/data/transfer/pelican/LUHA6124.jpg;"трусы женские (XS, Черный(49));трусы женские (XS, Серый(40))"
;LULA6001 *трусы женские - в наличии;;164.0;15;;https://optom-brend.ru/image/data/transfer/pelican/LULA6001.jpg;"трусы женские (M, Белый(2))"
;LULA6245 *Трусы женские - в наличии;;157.0;15;;https://optom-brend.ru/image/data/transfer/pelican/LULA6245.jpg;"Трусы женские Вишневый(8) S"
;MUB6766 *трусы мужские - в наличии;;206.0;15;;https://optom-brend.ru/image/data/transfer/pelican/MUB6766.jpg;"трусы мужские Фиолетовый 5XL"
;MUBB6828 *Трусы мужские - в наличии;;235.0;15;;https://optom-brend.ru/image/data/transfer/pelican/MUBB6828.jpg;"Трусы мужские Серый(40) L"
;MUHA6812/1 *трусы мужские - в наличии;;235.0;15;;https://optom-brend.ru/image/data/transfer/pelican/MUHA6812-1.jpg;"трусы мужские (XL, Темно-синий(54))"
;MUHA6828/1 *Трусы мужские - в наличии;;235.0;15;;https://optom-brend.ru/image/data/transfer/pelican/MUHA6828-1.jpg;"Трусы мужские Вишневый(8) XL"
;PFAJP6852 *Комплект женский - в наличии;;782.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFAJP6852.jpg;"Комплект женский Темно-синий(54) S"
;PFATH6827 *Комплект женский - в наличии;;587.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFATH6827.jpg;"Комплект женский Розовый(37) L"
;PFATL6823 *Комплект женский - в наличии;;782.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFATL6823.jpg;"Комплект женский Розовый(37) XS"
;PFAVH6813 *Комплект женский - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFAVH6813.jpg;"Комплект женский Розовый(37) XXS"
;PFAVH6817 *Комплект женский - в наличии;;391.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFAVH6817.jpg;"Комплект женский Желтый(11) XXS"
;PFAVH6829 *Комплект женский - в наличии;;489.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFAVH6829.jpg;"Комплект женский Бежевый(3) L"
;PFDN6828 *Платье женское - в наличии;;587.0;15;;https://optom-brend.ru/image/data/transfer/pelican/PFDN6828.jpg;"Платье женское Красный(18) XS"
