ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;к1045 Колготки;;18.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/IMG_9656.JPG https://optom-brend.ru/image/data/transfer/Tovar/IMG_9655.JPG https://optom-brend.ru/image/data/transfer/Tovar/IMG_9645.JPG https://optom-brend.ru/image/data/transfer/Tovar/IMG_9652.JPG;"Колготки для девочки Цветок кремовый 0 лет"
;к1022 Колготки;;18.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/IMG_9650.JPG;"Колготки детские белый 0-1;Колготки детские серый 0-1"
;к1020 Колготки;;18.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/IMG_9649.JPG;"Колготки для девочки Разноцветные полоски белый 0-1;Колготки для девочки Разноцветные полоски розовый 0-1"
;C001 *Куртка мужская;;1755.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/C001.jpg;"Куртка мужская серый M;Куртка мужская серый XL"
;Ш9 *Шапка детская (белый);;50.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/9%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.jpg https://optom-brend.ru/image/data/transfer/Tovar/9%20%D0%BC%D0%BE%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B9.jpg https://optom-brend.ru/image/data/transfer/Tovar/9%20%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9.jpg https://optom-brend.ru/image/data/transfer/Tovar/9%20%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D0%BE%20%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9.jpg https://optom-brend.ru/image/data/transfer/Tovar/9%20%D1%82%D0%B5%D0%BC%D0%BD%D0%BE%20%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9.jpg;"Шапка детская (белый);Шапка детская (молочный)"
;4769 Джемпер;;44.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947202382.jpg;"Джемпер, оранжевый 60;Джемпер, оранжевый 56;Джемпер, желтый 56;Джемпер, желтый 52;Джемпер, белый 56;Джемпер, оранжевый 52;Джемпер, желтый 60;Джемпер, белый 64;Джемпер, белый 60;Джемпер, белый 52"
;4765 Майка;;36.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947192332.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947192365.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947192354.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947192343.JPG;"Майка, фисташка 56;Майка, белый 56;Майка, оранжевый 56;Майка, белый 52"
;4759 Майка;;25.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947182272.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947192294.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947192283.JPG;"Майка-топ, оранжевый 56;Майка-топ, оранжевый 52"
;4754 Юбка для девочек;;60.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947172172.jpg https://optom-brend.ru/image/data/transfer/Tovar/15827947182227.jpg https://optom-brend.ru/image/data/transfer/Tovar/15827947182216.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947182205.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947182194.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947172183.JPG;"Юбка, фисташка 56;Юбка, белый 52;Юбка, фисташка 52"
;4665 Бриджи для девочек;;55.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947101682.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947111737.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947111726.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947111715.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947111704.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947101693.JPG;"Бриджи д/девочек, белый с жёлтым 60;Бриджи д/девочек, белый с жёлтым 56"
;4663 Бриджи для девочек;;47.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827947041552.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947051607.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947051596.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947051585.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947051574.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827947051563.JPG;"Бриджи, белый 68;Бриджи, белые 52;Бриджи, белые 60"
;4514 Сарафан для девочек;;35.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582794694922.jpg;"Сарафан д/девочек, салатовый 52;Сарафан д/девочек, белый 52"
;513 Сарафан для девочек;;43.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827945303632.jpg https://optom-brend.ru/image/data/transfer/Tovar/15827945303643.jpg;"Сарафан белый 52"
;175 Майка;;31.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827945211822.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211844.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211833.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211899.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211888.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211877.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211855.JPG https://optom-brend.ru/image/data/transfer/Tovar/15827945211866.JPG;"Майка борцовка д/девочек, красный 56;Майка борцовка д/девочек, белый 52"
;172 Сарафан для девочек;;44.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15827945191702.jpg https://optom-brend.ru/image/data/transfer/Tovar/15827945201713.jpg;"Сарафан д/девочек, зеленый 56;Сарафан д/девочек, бежевый со слонами 56;Сарафан д/девочек, зеленый 52;Сарафан д/девочек, красный 52;Сарафан д/девочек, красный 56;Сарафан д/девочек, желтый 56;Сарафан д/девочек, желтый 52;Сарафан д/девочек, голубой 52"
;001 Шапка;;17.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/158279449912.jpg https://optom-brend.ru/image/data/transfer/Tovar/158279449923.jpg https://optom-brend.ru/image/data/3003nalichie/5NkvCZeTdZs.jpg https://optom-brend.ru/image/data/3003nalichie/HXMBlko2vHk.jpg https://optom-brend.ru/image/data/3003nalichie/m93W3jpjO7I.jpg https://optom-brend.ru/image/data/3003nalichie/nk6v3Jr406s.jpg https://optom-brend.ru/image/data/3003nalichie/QJbseIAUsHY.jpg;"шапка для дев. (принты в ассоритименте), св.розовый;шапка детская (принты в ассоритименте), коралловый/рис.крокодил"
;YY0934 Платье для девочек;;1122.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632092392.jpg;"Платье, подъюбник-сетка, подол-валаны,на груди отделка бисером, бордовый 2 года;Платье, подъюбник-сетка, подол-валаны,на груди отделка бисером, бордовый 10 лет"
;K002 Комбинезон женский;;702.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632088352.jpg;"Комбинезон женский розовый,размер 42-44"
;B031 бриджи женские;;878.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632087332.jpg;"Бриджи женские голубой,размер 26;Бриджи женские голубой,размер 25"
;B002 бриджи женские;;878.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632084292.jpg;"Бриджи женские оранжево-голубой,размер 26;Бриджи женские оранжево-голубой,размер 25"
;B001 бриджи женские;;1014.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632083282.jpg;"Бриджи женские голубой,размер 25"
;803 Джинсы для мальчиков;;534.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230543102.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191062.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191084.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191095.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191117.JPG;"Джинсы для мальчика 23 спорт, коричн/т.синии 100"
